Beica Airport;Beica;Ethiopia;BEI;HABE;9.38639;34.5219;3;U
Kabri Dehar Airport;Kabri Dehar;Ethiopia;ABK;HAKD;6.734;44.253;3;U
Awasa Airport;Awasa;Ethiopia;AWA;HALA;7.067;38.5;3;U
Asosa;Asosa;Ethiopia;ASO;HASO;10.01855;34.586253;3;U
Bujumbura Intl;Bujumbura;Burundi;BJM;HBBA;-3.324019;29.318519;2;U
Alula Airport;Alula;Somalia;ALU;HCMA;11.95;50.733;3;U
Bosaso Airport;Bosaso;Somalia;BSA;HCMF;11.2753;49.1494;3;U
Berbera;Berbera;Somalia;BBO;HCMI;10.389167;44.941106;3;U
Burao Airport;Burao;Somalia;BUO;HCMV;9.517;45.567;3;U
El Arish International Airport;El Arish;Egypt;AAC;HEAR;31.073333;33.835833;2;U
Asyut International Airport;Asyut;Egypt;ATZ;HEAT;27.046508;31.011983;2;U
Alexandria Intl;Alexandria;Egypt;ALY;HEAX;31.183903;29.948889;2;U
Abu Simbel;Abu Simbel;Egypt;ABS;HEBL;22.375953;31.611722;2;U
Aswan Intl;Aswan;Egypt;ASW;HESN;23.964356;32.819975;2;U
Asmara Intl;Asmara;Eritrea;ASM;HHAS;15.291853;38.910667;3;U
Assab Intl;Assab;Eritrea;ASA;HHSB;13.071783;42.645006;3;U
Amboseli Airport;Amboseli National Park;Kenya;ASV;HKAM;-2.64505;37.2531;3;U
Kufra;Kufra;Libya;AKF;HLKF;24.178728;23.313958;1;N
Benina;Benghazi;Libya;BEN;HLLB;32.096786;20.269472;1;N
Atbara Airport;Atbara;Sudan;ATB;HSAT;17.7;33.967;2;U
Arusha;Arusha;Tanzania;ARK;HTAR;-3.367794;36.633333;3;U
Bukoba Airport;Bukoba;Tanzania;BKZ;HTBU;-1.3;31.8;3;U
;;;;;;;;
Clayton County Tara Field;Hampton;United States;4A7;K4A7;33.389099;-84.332397;-5;A
Dell Flight Strip;Dell;United States;4U9;K4U9;44.7357483;-112.7200133;-7;A
Madison GA Municipal Airport;Madison;United States;52A;K52A;33.612125;-83.4604444;-5;A
East Troy Municipal Airport;East Troy;United States;57C;K57C;42.7971667;-88.3726111;-6;A
Big Timber Airport;Big Timber;United States;6S0;K6S0;45.8063889;-109.9811111;-7;A
Phoenix Regional Airport;Phoenix;United States;A39;KA39;32.9916992188;-111.9209976196;-7;A
Apalachicola Regional Airport;Apalachicola;United States;AAF;KAAF;29.7276066;-85.0274416;-6;A
Lehigh Valley Intl;Allentown;United States;ABE;KABE;40.652083;-75.440806;-5;A
Abilene Rgnl;Abilene;United States;ABI;KABI;32.411319;-99.681897;-6;A
Albuquerque International Sunport;Albuquerque;United States;ABQ;KABQ;35.0402222;-106.6091944;-7;A
Aberdeen Regional Airport;Aberdeen;United States;ABR;KABR;45.4491;-98.4218;-6;A
Southwest Georgia Regional Airport;Albany;United States;ABY;KABY;31.5355;-84.1945;-5;A
Nantucket Mem;Nantucket;United States;ACK;KACK;41.253053;-70.060181;-5;A
Waco Rgnl;Waco;United States;ACT;KACT;31.611289;-97.230519;-6;A
Arcata;Arcata CA;United States;ACV;KACV;40.978111;-124.108611;-8;A
